Web Search interest: pipeline
Los Angeles CA (United States) San Francisco-Oakland-San Jose CA (United States) New York NY (United States) San Diego CA (United States)
Jan 2009 - Jan 2012

Interest over time
Week,Los Angeles CA,San Francisco-Oakland-San Jose CA,New York NY,San Diego CA
2009-01-04 - 2009-01-10,20,24,24,29
2009-01-11 - 2009-01-17,21,16,24,23
2009-01-18 - 2009-01-24,23,13,28,29
2009-01-25 - 2009-01-31,20,19,30,17
2009-02-01 - 2009-02-07,27,20,25,36
2009-02-08 - 2009-02-14,22,19,22,27
2009-02-15 - 2009-02-21,19,18,19,17
2009-02-22 - 2009-02-28,20,17,25,11
2009-03-01 - 2009-03-07,28,21,23,33
2009-03-08 - 2009-03-14,21,21,27,30
2009-03-15 - 2009-03-21,22,21,23,19
2009-03-22 - 2009-03-28,13,22,21,22
2009-03-29 - 2009-04-04,20,16,28,17
2009-04-05 - 2009-04-11,19,20,21,35
2009-04-12 - 2009-04-18,24,15,25,22
2009-04-19 - 2009-04-25,24,17,23,22
2009-04-26 - 2009-05-02,19,18,24,19
2009-05-03 - 2009-05-09,26,18,24,35
2009-05-10 - 2009-05-16,25,17,28,32
2009-05-17 - 2009-05-23,31,15,24,34
2009-05-24 - 2009-05-30,26,13,22,26
2009-05-31 - 2009-06-06,25,18,26,16
2009-06-07 - 2009-06-13,24,19,23,25
2009-06-14 - 2009-06-20,19,17,24,20
2009-06-21 - 2009-06-27,24,16,22,29
2009-06-28 - 2009-07-04,23,11,19,40
2009-07-05 - 2009-07-11,16,16,22,23
2009-07-12 - 2009-07-18,23,14,27,35
2009-07-19 - 2009-07-25,30,16,22,20
2009-07-26 - 2009-08-01,30,16,31,40
2009-08-02 - 2009-08-08,22,11,23,37
2009-08-09 - 2009-08-15,28,11,22,43
2009-08-16 - 2009-08-22,30,16,25,39
2009-08-23 - 2009-08-29,26,16,26,25
2009-08-30 - 2009-09-05,29,15,24,25
2009-09-06 - 2009-09-12,25,12,27,20
2009-09-13 - 2009-09-19,25,13,23,24
2009-09-20 - 2009-09-26,21,15,24,25
2009-09-27 - 2009-10-03,25,15,28,28
2009-10-04 - 2009-10-10,21,13,25,28
2009-10-11 - 2009-10-17,26,13,24,39
2009-10-18 - 2009-10-24,22,15,28,34
2009-10-25 - 2009-10-31,21,15,22,43
2009-11-01 - 2009-11-07,23,16,19,46
