Web Search interest: pipeline
Los Angeles CA (United States) San Francisco-Oakland-San Jose CA (United States) New York NY (United States) San Diego CA (United States)
Jan 2009 - Jan 2012

Interest over time
Week,Los Angeles CA,San Francisco-Oakland-San Jose CA,New York NY,San Diego CA
2009-11-08 - 2009-11-14,22,15,24,30
2009-11-15 - 2009-11-21,21,18,21,36
2009-11-22 - 2009-11-28,29,13,20,39
2009-11-29 - 2009-12-05,24,17,30,32
2009-12-06 - 2009-12-12,35,19,26,80
2009-12-13 - 2009-12-19,35,13,27,67
2009-12-20 - 2009-12-26,19,12,23,47
2009-12-27 - 2010-01-02,20,7,17,27
2010-01-03 - 2010-01-09,25,12,23,30
2010-01-10 - 2010-01-16,25,14,23,43
2010-01-17 - 2010-01-23,21,17,20,28
2010-01-24 - 2010-01-30,36,15,25,47
2010-01-31 - 2010-02-06,35,15,30,47
2010-02-07 - 2010-02-13,25,11,26,31
2010-02-14 - 2010-02-20,24,14,26,55
2010-02-21 - 2010-02-27,24,11,25,63
2010-02-28 - 2010-03-06,26,11,27,22
2010-03-07 - 2010-03-13,30,11,27,39
2010-03-14 - 2010-03-20,20,14,30,29
2010-03-21 - 2010-03-27,21,11,28,32
2010-03-28 - 2010-04-03,26,12,27,32
2010-04-04 - 2010-04-10,25,14,32,47
2010-04-11 - 2010-04-17,22,14,21,25
2010-04-18 - 2010-04-24,31,11,23,25
2010-04-25 - 2010-05-01,27,15,30,51
2010-05-02 - 2010-05-08,26,12,27,23
2010-05-09 - 2010-05-15,32,12,30,29
2010-05-16 - 2010-05-22,23,15,30,38
2010-05-23 - 2010-05-29,24,16,24,21
2010-05-30 - 2010-06-05,20,10,24,48
2010-06-06 - 2010-06-12,24,13,31,36
2010-06-13 - 2010-06-19,26,15,27,34
2010-06-20 - 2010-06-26,19,16,23,44
2010-06-27 - 2010-07-03,25,12,23,56
2010-07-04 - 2010-07-10,19,9,29,31
2010-07-11 - 2010-07-17,17,12,27,44
2010-07-18 - 2010-07-24,24,8,26,39
2010-07-25 - 2010-07-31,28,11,29,33
2010-08-01 - 2010-08-07,22,11,27,39
2010-08-08 - 2010-08-14,28,11,24,48
2010-08-15 - 2010-08-21,23,10,26,33
2010-08-22 - 2010-08-28,26,11,29,15
2010-08-29 - 2010-09-04,24,8,29,26
2010-09-05 - 2010-09-11,28,22,25,57
2010-09-12 - 2010-09-18,42,38,35,23
2010-09-19 - 2010-09-25,26,20,21,35
2010-09-26 - 2010-10-02,21,15,27,42
2010-10-03 - 2010-10-09,24,14,19,26
2010-10-10 - 2010-10-16,26,11,26,38
2010-10-17 - 2010-10-23,18,11,28,26
2010-10-24 - 2010-10-30,20,10,31,24
2010-10-31 - 2010-11-06,19,11,22,26
2010-11-07 - 2010-11-13,26,12,26,27
2010-11-14 - 2010-11-20,27,8,28,36
2010-11-21 - 2010-11-27,15,9,22,46
2010-11-28 - 2010-12-04,27,9,29,28
2010-12-05 - 2010-12-11,42,11,26,64
2010-12-12 - 2010-12-18,29,14,24,77
2010-12-19 - 2010-12-25,23,9,26,41
2010-12-26 - 2011-01-01,15,9,17,32
2011-01-02 - 2011-01-08,17,29,18,24
2011-01-09 - 2011-01-15,18,31,21,23
2011-01-16 - 2011-01-22,22,28,21,32
2011-01-23 - 2011-01-29,36,39,23,49
2011-01-30 - 2011-02-05,20,31,19,25
2011-02-06 - 2011-02-12,21,29,21,27
2011-02-13 - 2011-02-19,22,27,19,27
2011-02-20 - 2011-02-26,18,23,21,28
2011-02-27 - 2011-03-05,20,39,21,42
2011-03-06 - 2011-03-12,18,29,21,23
2011-03-13 - 2011-03-19,21,20,20,31
2011-03-20 - 2011-03-26,19,24,22,26
2011-03-27 - 2011-04-02,16,30,15,29
2011-04-03 - 2011-04-09,22,25,18,39
2011-04-10 - 2011-04-16,22,24,20,27
2011-04-17 - 2011-04-23,18,25,16,38
2011-04-24 - 2011-04-30,19,31,18,27
2011-05-01 - 2011-05-07,19,24,17,25
2011-05-08 - 2011-05-14,21,26,21,41
2011-05-15 - 2011-05-21,23,26,19,29
2011-05-22 - 2011-05-28,19,31,19,27
2011-05-29 - 2011-06-04,18,28,16,39
2011-06-05 - 2011-06-11,27,25,19,29
2011-06-12 - 2011-06-18,20,24,18,25
2011-06-19 - 2011-06-25,18,26,16,31
2011-06-26 - 2011-07-02,21,34,17,30
2011-07-03 - 2011-07-09,20,33,17,49
2011-07-10 - 2011-07-16,21,24,17,45
2011-07-17 - 2011-07-23,17,26,20,28
2011-07-24 - 2011-07-30,21,29,15,29
2011-07-31 - 2011-08-06,22,23,20,35
2011-08-07 - 2011-08-13,23,19,19,29
2011-08-14 - 2011-08-20,25,33,22,28
2011-08-21 - 2011-08-27,27,39,24,35
2011-08-28 - 2011-09-03,34,42,26,35
2011-09-04 - 2011-09-10,24,34,23,28
2011-09-11 - 2011-09-17,21,36,25,34
2011-09-18 - 2011-09-24,21,31,21,33
2011-09-25 - 2011-10-01,24,41,20,38
2011-10-02 - 2011-10-08,20,31,20,29
2011-10-09 - 2011-10-15,19,29,21,22
2011-10-16 - 2011-10-22,18,37,26,31
2011-10-23 - 2011-10-29,21,35,28,28
2011-10-30 - 2011-11-05,24,33,24,36
2011-11-06 - 2011-11-12,22,57,33,34
2011-11-13 - 2011-11-19,30,33,34,39
2011-11-20 - 2011-11-26,20,22,20,26
2011-11-27 - 2011-12-03,24,30,21,45
2011-12-04 - 2011-12-10,49,47,32,100
2011-12-11 - 2011-12-17,39,54,38,64
2011-12-18 - 2011-12-24,30,43,38,38
2011-12-25 - 2011-12-31,17,20,17,19
2012-01-01 - 2012-01-07,22,27,22,26
2012-01-08 - 2012-01-14,23,33,24,34
2012-01-15 - 2012-01-21,50,68,54,70
2012-01-22 - 2012-01-28,46,50,39,38
2012-01-29 - 2012-02-04,31,42,33,58


Top cities for Los Angeles CA
City,Los Angeles CA
Rancho Santa Margarita,100
Long Beach,92
Los Angeles,87
Irvine,78

Top cities for San Francisco-Oakland-San Jose CA
City,San Francisco-Oakland-San Jose CA
San Ramon,100
San Mateo,33
Palo Alto,21
Sunnyvale,21
Berkeley,19
Walnut Creek,19
Oakland,19
San Francisco,17
San Jose,12
Pleasanton,12
Santa Clara,9
Milpitas,2

Top cities for New York NY
City,New York NY
Hoboken,100
Livingston,25
Stamford,22
Jersey City,22
Newark,13
New York,12

Top cities for San Diego CA
City,San Diego CA
San Diego,100



Top searches for Los Angeles CA
pipeline sbcc,100
sbcc,100
keystone,55
oil pipeline,50
keystone pipeline,50
gas pipeline,45
pipeline jobs,35
pipeline masters,35
pipeline pro,20
arizona pipeline,20
pipeline hawaii,20
alaska pipeline,20
keystone xl pipeline,20
alaskan pipeline,15
pizza pipeline,15
bamboo pipeline,15
hpu pipeline,10
volcom pipeline pro,10
santa barbara pipeline,10
pipeline masters 2011,10
banzai pipeline,10
script pipeline,5
kana pipeline,5
pipeline masters 2009,5

Top searches for San Francisco-Oakland-San Jose CA
sbcc pipeline,100
sbcc,100
keystone pipeline,70
in the pipeline,55
project pipeline,35
keystone xl pipeline,35
gas pipeline map,25
san bruno pipeline,25
alaska pipeline,25
pipeline masters,20
alaskan pipeline,20
hpu pipeline,20
pg&e pipeline map,15
pizza pipeline,10
kinder morgan pipeline,10
tar sands pipeline,10
volcom pipeline pro,5

Top searches for New York NY
keystone pipeline,100
keystone,100
oil pipeline,85
in the pipeline,65
stevens pipeline,50
xl pipeline,45
keystone xl pipeline,35
pipeline jobs,35
alaska pipeline,35
alaskan pipeline,30
njit pipeline,20
urban pipeline,20
pipeline trading,20
el paso pipeline,20
atlas pipeline,20
colonial pipeline,20
boardwalk pipeline,15
buckeye pipeline,15
enbridge pipeline,15
obama pipeline,10
pipeline financial,10
ruby pipeline,10
ccsu pipeline,10
transcanada pipeline,10
highlander pipeline,10
keystone oil pipeline,10
atlas pipeline partners,10
njit highlander pipeline,10
pipeline masters,10
kinder morgan pipeline,10
kinder morgan,10
boardwalk pipeline partners,10
tar sands pipeline,10
keystone pipeline map,5
banzai pipeline,5
alliance pipeline,5

Top searches for San Diego CA
in the pipeline,100
pipeline masters,80
sbcc pipeline,75
keystone pipeline,70
keystone xl pipeline,30
volcom pipeline pro,25
hpu pipeline,20



Rising searches for Los Angeles CA
keystone xl pipeline,Breakout
volcom pipeline pro,Breakout
keystone,+1,950%
keystone pipeline,+1,950%
hpu pipeline,+500%
pipeline sbcc,+450%
sbcc,+350%
pizza pipeline,+250%
pipeline jobs,+140%
pipeline pro,+80%

Rising searches for San Francisco-Oakland-San Jose CA
keystone xl pipeline,Breakout
pg&e pipeline map,Breakout
san bruno pipeline,Breakout
keystone pipeline,+1,650%
gas pipeline map,+550%
sbcc,+450%
sbcc pipeline,+450%
hpu pipeline,+180%
pizza pipeline,+100%
in the pipeline,+80%

Rising searches for New York NY
keystone xl pipeline,Breakout
xl pipeline,Breakout
keystone pipeline,+4,450%
keystone,+3,900%
pipeline jobs,+130%
njit pipeline,+120%
el paso pipeline,+110%
in the pipeline,+70%
alaskan pipeline,+50%
urban pipeline,+50%

Rising searches for San Diego CA
keystone xl pipeline,Breakout
volcom pipeline pro,Breakout
keystone pipeline,+1,300%
sbcc pipeline,+200%
pipeline masters,+100%
in the pipeline,+80%



