Web Search interest: explosion
San Francisco-Oakland-San Jose CA (United States) Los Angeles CA (United States) San Diego CA (United States) New York NY (United States)
Jan 2009 - Jan 2012

Interest over time
Week,San Francisco-Oakland-San Jose CA,Los Angeles CA,San Diego CA,New York NY
2011-06-19 - 2011-06-25,10,10,13,10
2011-06-26 - 2011-07-02,10,11,24,9
2011-07-03 - 2011-07-09,14,13,19,11
2011-07-10 - 2011-07-16,14,12,22,13
2011-07-17 - 2011-07-23,31,23,35,28
2011-07-24 - 2011-07-30,13,11,13,14
2011-07-31 - 2011-08-06,11,10,10,10
2011-08-07 - 2011-08-13,11,18,15,11
2011-08-14 - 2011-08-20,12,10,14,9
2011-08-21 - 2011-08-27,14,12,13,12
2011-08-28 - 2011-09-03,24,10,17,15
2011-09-04 - 2011-09-10,19,14,15,16
2011-09-11 - 2011-09-17,22,13,16,17
2011-09-18 - 2011-09-24,14,12,12,11
2011-09-25 - 2011-10-01,15,12,15,12
2011-10-02 - 2011-10-08,11,11,14,11
2011-10-09 - 2011-10-15,10,12,10,10
2011-10-16 - 2011-10-22,11,11,12,9
2011-10-23 - 2011-10-29,14,12,14,10
2011-10-30 - 2011-11-05,20,11,12,11
2011-11-06 - 2011-11-12,15,13,13,12
2011-11-13 - 2011-11-19,11,14,14,13
2011-11-20 - 2011-11-26,11,11,12,12
2011-11-27 - 2011-12-03,16,17,15,14
2011-12-04 - 2011-12-10,13,12,13,12
2011-12-11 - 2011-12-17,13,24,14,11
2011-12-18 - 2011-12-24,11,11,10,10
2011-12-25 - 2011-12-31,10,12,7,10
2012-01-01 - 2012-01-07,10,11,10,11
2012-01-08 - 2012-01-14,12,10,11,11
2012-01-15 - 2012-01-21,10,11,15,18
2012-01-22 - 2012-01-28,12,14,13,12
2012-01-29 - 2012-02-04,17,12,15,11


Top cities for San Francisco-Oakland-San Jose CA
City,San Francisco-Oakland-San Jose CA
San Mateo,100
Pleasanton,90
Berkeley,89
Oakland,86
Palo Alto,84
Walnut Creek,84
Sunnyvale,83
San Francisco,82
San Jose,59
Santa Clara,42
Milpitas,31

Top cities for Los Angeles CA
City,Los Angeles CA
Riverside,100
Pasadena,99
Anaheim,98
Glendale,98
Long Beach,98
Los Angeles,89
Rancho Santa Margarita,87
Irvine,86

Top cities for San Diego CA
City,San Diego CA
San Diego,100

Top cities for New York NY
City,New York NY
White Plains,100
Livingston,93
Stamford,91
Newark,83
Hicksville,82
New York,71
Jersey City,64



Top searches for San Francisco-Oakland-San Jose CA
explosion san bruno,100
san bruno,100
gas explosion,55
nuclear explosion,45
bacon explosion,30
explosion san francisco,30
challenger explosion,20
art explosion,20
san bruno fire,15
oil rig explosion,15
sf explosion,15
explosion habana,15
nuclear explosion japan,10
cambrian explosion,10
oakland explosion,5
explosion solar,5
sun explosion,5
explosion de iquitos,5
freestyle explosion,5
norway explosion,5
hydrogen explosion,5
menlo park explosion,5
oslo explosion,5
space shuttle explosion,5
halifax explosion,5
art explosion sf,5
explosion filmes,5
japan reactor explosion,5
bozeman explosion,5
principle of explosion,0
foxconn explosion,0
moscow airport explosion,0
pembroke explosion,0
pembroke refinery explosion,0

Top searches for Los Angeles CA
nuclear explosion,100
gas explosion,65
challenger,65
challenger explosion,60
san bruno explosion,45
explosion los angeles,45
bacon explosion,40
japan explosion,40
cambrian explosion,35
freestyle explosion,30
nuclear explosion japan,30
oil rig explosion,25
explosion sound effect,15
punch time explosion,15
sun explosion,15
space shuttle explosion,15
power plant explosion,15
san francisco explosion,15
explosion nortena,15
norway explosion,10
simi valley explosion,10
atomic bomb explosion,10
nathan explosion,10
oslo explosion,10
sylmar explosion,10
solar explosion,10
santa monica explosion,10
iran explosion,10
explosion gif,5
freestyle explosion 2011,5
supernova explosion,5
uh oh explosion,5
whale explosion,5
japan reactor explosion,5
westwood explosion,5
halifax explosion,5
meth lab explosion,5
puerto rico explosion,5
e for explosion,5
summer explosion 2011,5
pepcon explosion,5
freestyle explosion 2010,5
moscow airport explosion,0

Top searches for San Diego CA
san diego explosion,100
nuclear explosion,90
bacon explosion,45
challenger explosion,40
san bruno explosion,40
explosion nortena,35
oil rig explosion,25
cambrian explosion,25
japan nuclear explosion,15

Top searches for New York NY
the explosion,100
gas explosion,45
nuclear explosion,40
bacon explosion,30
challenger,30
oil explosion,30
challenger explosion,30
house explosion,25
rig explosion,20
nyc explosion,20
oil rig explosion,20
new york explosion,15
japan explosion,15
dance explosion,10
explosions,10
punch time explosion,10
cambrian explosion,10
power plant explosion,10
nuclear explosion japan,10
