Web Search interest: "san bruno"
San Francisco-Oakland-San Jose CA (United States) Los Angeles CA (United States) San Diego CA (United States) New York NY (United States)
Jan 2009 - Jan 2012

Interest over time
Week,San Francisco-Oakland-San Jose CA,Los Angeles CA,San Diego CA,New York NY
2011-06-12 - 2011-06-18,23,1,1,0
2011-06-19 - 2011-06-25,24,2,1,0
2011-06-26 - 2011-07-02,24,1,1,0
2011-07-03 - 2011-07-09,25,1,0,0
2011-07-10 - 2011-07-16,23,1,1,0
2011-07-17 - 2011-07-23,24,2,1,0
2011-07-24 - 2011-07-30,23,2,1,0
2011-07-31 - 2011-08-06,21,1,1,0
2011-08-07 - 2011-08-13,22,1,1,0
2011-08-14 - 2011-08-20,24,1,1,0
2011-08-21 - 2011-08-27,25,1,0,0
2011-08-28 - 2011-09-03,26,1,1,0
2011-09-04 - 2011-09-10,26,1,1,0
2011-09-11 - 2011-09-17,23,1,1,0
2011-09-18 - 2011-09-24,24,1,1,0
2011-09-25 - 2011-10-01,23,1,0,0
2011-10-02 - 2011-10-08,23,1,1,0
2011-10-09 - 2011-10-15,22,1,1,0
2011-10-16 - 2011-10-22,22,1,1,0
2011-10-23 - 2011-10-29,21,1,0,0
2011-10-30 - 2011-11-05,23,1,1,0
2011-11-06 - 2011-11-12,21,1,0,0
2011-11-13 - 2011-11-19,23,1,1,0
2011-11-20 - 2011-11-26,23,1,1,0
2011-11-27 - 2011-12-03,21,0,1,0
2011-12-04 - 2011-12-10,21,1,1,0
2011-12-11 - 2011-12-17,23,1,1,0
2011-12-18 - 2011-12-24,24,1,1,0
2011-12-25 - 2011-12-31,24,1,0,0
2012-01-01 - 2012-01-07,24,1,1,0
2012-01-08 - 2012-01-14,24,1,1,0
2012-01-15 - 2012-01-21,22,1,1,0
2012-01-22 - 2012-01-28,21,1,0,0
2012-01-29 - 2012-02-04,23,1,1,0


Top cities for San Francisco-Oakland-San Jose CA
City,San Francisco-Oakland-San Jose CA
San Bruno,100
South San Francisco,27
Daly City,21
Burlingame,16
San Mateo,7
Redwood City,3
Pleasanton,3
San Francisco,2
San Rafael,2
Oakland,2
Fremont,1
Walnut Creek,1
Sunnyvale,1
Belmont,0
San Carlos,0

Top cities for Los Angeles CA
City,Los Angeles CA
Los Angeles,100
Irvine,78

Top cities for San Diego CA
City,San Diego CA
San Diego,100

Top cities for New York NY
City,New York NY
New York,100



Top searches for San Francisco-Oakland-San Jose CA
san bruno ca,100
fire san bruno,45
san bruno city,35
san bruno california,20
san bruno park,20
san bruno explosion,20
san bruno cable,15
tanforan san bruno,10
tanforan,10
san bruno map,10
skyline,10
weather san bruno,10
san bruno, ca,10
san bruno library,10
san bruno mountain,10
bart san bruno,10
san bruno apartments,10
skyline college,10
san bruno mall,5
san bruno news,5
san bruno church,5
san bruno restaurants,5
san bruno zip,5
archstone san bruno,5
sears san bruno,5
target san bruno,5
century san bruno,5
san bruno police,5
jacks san bruno,5
tanforan mall,5
san bruno honda,5
youtube san bruno,5
san bruno caltrain,5
san bruno jail,5
walgreens san bruno,5
lowes san bruno,5

Top searches for Los Angeles CA
san bruno ca,100
san bruno fire,60
san bruno explosion,40
san bruno california,25
san bruno cable,5

Top searches for San Diego CA
san bruno ca,100
san bruno explosion,70
san bruno fire,70
san bruno california,30

Top searches for New York NY
san bruno ca,100
san bruno fire,45
san bruno explosion,45
san bruno california,25



Rising searches for San Francisco-Oakland-San Jose CA
san bruno explosion,Breakout
fire san bruno,+1,000%
san bruno news,+150%
weather san bruno,+90%
target san bruno,+70%
san bruno map,+50%
sears san bruno,+40%

Rising searches for Los Angeles CA
san bruno explosion,Breakout
san bruno fire,+850%

Rising searches for San Diego CA
san bruno explosion,Breakout
san bruno fire,+250%

Rising searches for New York NY
san bruno explosion,Breakout
san bruno fire,+1,150%



