Category: All categories

Week,2010 San Bruno pipeline explosion: (San Francisco-Oakland-San Jose CA),2010 San Bruno pipeline explosion: (Los Angeles CA),2010 San Bruno pipeline explosion: (San Diego CA),2010 San Bruno pipeline explosion: (New York NY)
2010-01-02,0,0,0,0
2010-01-09,0,0,0,0
2010-01-16,0,0,0,0
2010-01-23,0,0,0,0
2010-01-30,0,0,0,0
2010-02-06,0,0,0,0
2010-02-13,0,0,0,0
2010-02-20,0,0,0,0
2010-02-27,0,0,0,0
2010-03-06,0,0,0,0
2010-03-13,0,0,0,0
2010-03-20,0,0,0,0
2010-03-27,0,0,0,0
2010-04-03,0,0,0,0
2010-04-10,0,0,0,0
2010-04-17,0,0,0,0
2010-04-24,0,0,0,0
2010-05-01,0,0,0,0
2010-05-08,0,0,0,0
2010-05-15,0,0,0,0
2010-05-22,0,0,0,0
2010-05-29,0,0,0,0
2010-06-05,0,0,0,0
2010-06-12,0,0,0,0
2010-06-19,0,0,0,0
2010-06-26,0,0,0,0
2010-07-03,0,0,0,0
2010-07-10,0,0,0,0
2010-07-17,0,0,0,0
2010-07-24,0,0,0,0
2010-07-31,0,0,0,0
2010-08-07,0,0,0,0
2010-08-14,0,0,0,0
2010-08-21,0,0,0,0
2010-08-28,0,0,0,0
2010-09-04,69,34,100,26
2010-09-11,22,20,75,8
2010-09-18,6,7,0,6
2010-09-25,5,19,0,4
2010-10-02,6,6,0,4
2010-10-09,6,6,0,4
2010-10-16,8,6,0,4
2010-10-23,5,0,0,0
2010-10-30,3,0,0,0
2010-11-06,3,0,0,0
2010-11-13,2,0,0,0
2010-11-20,2,0,0,0
2010-11-27,2,0,0,0
2010-12-04,3,0,0,0
2010-12-11,3,0,0,0
2010-12-18,6,0,0,0
2010-12-25,0,0,0,0
